stream,filename,size_bytes,closed_name
CH01,CH01_2026-07-05_14-56-53_to_15-02-47.mp4,69730332,yes
CH01,CH01_2026-07-05_15-02-47_to_15-10-59.mp4,174850076,yes
CH01,CH01_2026-07-05_15-10-59_to_15-35-27.mp4,1303379996,yes
CH01,CH01_2026-07-05_15-35-27_to_16-00-01.mp4,1747463959,yes
CH01,CH01_2026-07-05_16-00-01_to_17-00-01.mp4,3341209873,yes
CH01,CH01_2026-07-05_17-00-01_to_18-00-00.mp4,3638147135,yes
CH01,CH01_2026-07-05_18-00-00_to_19-00-00.mp4,3880179263,yes
CH01,CH01_2026-07-05_19-00-00_to_20-00-01.mp4,3666945200,yes
CH01,CH01_2026-07-05_20-00-01_to_21-00-01.mp4,4110745678,yes
CH01,CH01_2026-07-05_21-00-01_to_22-00-01.mp4,4658201749,yes
CH01,CH01_2026-07-05_22-00-01_to_23-00-00.mp4,4590916989,yes
CH01,CH01_2026-07-05_23-00-00_to_00-00-00.mp4,4608167213,yes
CH01,CH01_2026-07-06_00-00-00_to_01-00-01.mp4,4580464417,yes
CH01,CH01_2026-07-06_01-00-01_to_02-00-01.mp4,4633056326,yes
CH01,CH01_2026-07-06_02-00-01_to_03-00-01.mp4,4674664151,yes
CH01,CH01_2026-07-06_03-00-01_to_04-00-01.mp4,4562549676,yes
CH01,CH01_2026-07-06_04-00-01_to_05-00-00.mp4,4569801737,yes
CH01,CH01_2026-07-06_05-00-00_to_06-00-00.mp4,4395759328,yes
CH01,CH01_2026-07-06_06-00-00_to_07-00-01.mp4,3547219627,yes
CH01,CH01_2026-07-06_07-00-01_to_08-00-01.mp4,3858971619,yes
CH01,CH01_2026-07-06_08-00-01_to_09-00-01.mp4,3782182049,yes
CH01,CH01_2026-07-06_09-00-01_to_10-00-00.mp4,3948676755,yes
CH01,CH01_2026-07-06_10-00-00_to_11-00-00.mp4,4146231630,yes
CH01,CH01_2026-07-06_11-00-00_to_12-00-01.mp4,4338788877,yes
CH01,CH01_2026-07-06_12-00-01_to_13-00-01.mp4,4186015725,yes
CH01,CH01_2026-07-06_13-00-01_to_14-00-00.mp4,3886017997,yes
CH01,CH01_2026-07-06_14-00-00_to_15-00-00.mp4,3716249165,yes
CH01,CH01_2026-07-06_15-00-00_to_16-00-01.mp4,3654335484,yes
CH01,CH01_2026-07-06_16-00-01_to_17-00-03.mp4,3960496131,yes
CH01,CH01_2026-07-06_17-00-03_to_18-00-00.mp4,4069065998,yes
CH01,CH01_2026-07-06_18-00-00_to_19-00-00.mp4,4165816844,yes
CH01,CH01_2026-07-06_19-00-00_to_20-00-00.mp4,3622378621,yes
CH01,CH01_2026-07-06_20-00-00_to_21-00-01.mp4,4000719918,yes
CH01,CH01_2026-07-06_21-00-01_to_22-00-01.mp4,4691028615,yes
CH01,CH01_2026-07-06_22-00-01_to_23-00-00.mp4,4584004128,yes
CH01,CH01_2026-07-06_23-00-00_to_00-00-00.mp4,4491888898,yes
CH01,CH01_2026-07-07_00-00-00_to_01-00-00.mp4,4441725556,yes
CH01,CH01_2026-07-07_01-00-00_to_02-00-01.mp4,4439517069,yes
CH01,CH01_2026-07-07_02-00-01_to_03-00-02.mp4,4450163558,yes
CH01,CH01_2026-07-07_03-00-02_to_04-00-00.mp4,4495607648,yes
CH01,CH01_2026-07-07_04-00-00_to_05-00-00.mp4,4486497814,yes
CH01,CH01_2026-07-07_05-00-00_to_06-00-01.mp4,4290692804,yes
CH01,CH01_2026-07-07_06-00-01_to_07-00-00.mp4,3637864680,yes
CH01,CH01_2026-07-07_07-00-00_to_08-00-01.mp4,3674113021,yes
CH01,CH01_2026-07-07_08-00-01_to_09-00-01.mp4,3462807945,yes
CH01,CH01_2026-07-07_09-00-01_to_10-00-00.mp4,3618390398,yes
CH01,CH01_2026-07-07_10-00-00_to_11-00-01.mp4,3457359496,yes
CH01,CH01_2026-07-07_11-00-01_to_12-00-03.mp4,3511356899,yes
CH01,CH01_2026-07-07_12-00-03_to_13-00-00.mp4,3702344139,yes
CH01,CH01_2026-07-07_13-00-00_to_14-00-01.mp4,4037024071,yes
CH01,CH01_2026-07-07_14-00-01_to_15-00-00.mp4,4546661486,yes
