cam,clock,file,station,window_start,window_end,edge,n_corners,spread,bw_IR,settled_run
CH01,15:32:52.1,153252.npz,,,,0,51,1,0,
CH01,15:32:54.1,153254.npz,,,,0,46,1,0,
CH01,15:32:56.1,153256.npz,,,,0,52,1,0,
CH01,15:32:58.0,153258.npz,,,,0,59,1,0,
CH01,15:33:00.2,153300.npz,,,,0,55,1,0,
CH01,15:33:02.0,153302.npz,,,,0,67,1,0,
CH01,15:33:04.0,153304.npz,,,,0,63,1,0,
CH01,15:33:06.0,153306.npz,,,,0,72,1,0,
CH01,15:33:08.0,153308.npz,,,,0,67,1,0,
CH01,15:33:10.1,153310.npz,,,,0,61,1,0,
CH01,15:33:12.1,153312.npz,,,,0,50,1,0,
CH01,15:33:14.0,153314.npz,,,,0,61,1,0,
CH01,15:33:16.0,153316.npz,,,,0,59,1,0,
CH01,15:33:18.0,153318.npz,,,,0,54,1,0,
CH01,15:33:20.0,153320.npz,,,,0,54,1,0,
CH01,15:33:22.0,153322.npz,,,,0,60,1,0,
CH01,15:33:24.0,153324.npz,,,,0,71,1,0,
CH01,15:33:26.0,153326.npz,,,,0,65,1,0,
CH01,15:33:28.0,153328.npz,,,,0,58,1,0,
CH01,15:33:30.0,153330.npz,,,,0,62,1,0,
CH01,15:33:32.0,153332.npz,,,,0,69,1,0,
CH01,15:33:34.0,153334.npz,,,,0,77,1,0,
CH01,15:33:36.1,153336.npz,,,,0,67,1,0,
CH01,15:33:38.0,153338.npz,,,,0,68,1,0,
CH01,15:33:40.0,153340.npz,,,,0,67,1,0,
CH01,15:33:42.1,153342.npz,,,,0,71,1,0,
CH01,15:33:44.1,153344.npz,,,,0,70,1,0,
CH01,15:33:46.0,153346.npz,,,,0,60,1,0,
CH01,15:33:48.1,153348.npz,,,,0,69,1,0,
CH01,15:33:50.0,153350.npz,,,,0,63,1,0,
CH01,15:33:52.0,153352.npz,,,,0,69,1,0,
CH01,15:33:54.1,153354.npz,,,,0,63,1,0,
CH01,15:33:56.0,153356.npz,,,,0,73,1,0,
CH01,15:33:58.1,153358.npz,,,,0,69,1,0,
CH01,15:34:00.1,153400.npz,,,,0,53,1,0,
CH01,15:34:02.0,153402.npz,,,,0,64,1,0,
CH01,15:34:04.1,153404.npz,,,,0,73,1,0,
CH01,15:34:06.1,153406.npz,,,,0,55,1,0,
CH01,15:34:08.1,153408.npz,,,,0,67,1,0,
CH01,15:34:10.1,153410.npz,,,,0,67,1,0,
CH01,15:34:12.0,153412.npz,,,,0,44,1,0,
CH01,15:34:14.0,153414.npz,,,,0,72,1,0,
CH01,15:34:16.1,153416.npz,,,,0,71,1,0,
CH01,15:34:18.1,153418.npz,,,,0,73,1,0,
CH01,15:34:20.0,153420.npz,,,,0,69,1,0,
CH01,15:34:22.0,153422.npz,,,,0,60,1,0,
CH01,15:34:24.1,153424.npz,,,,0,69,1,0,
CH01,15:34:26.1,153426.npz,,,,0,69,1,0,
CH01,15:34:28.1,153428.npz,,,,0,70,1,0,
CH01,15:34:30.0,153430.npz,,,,0,70,1,0,
CH01,15:34:32.1,153432.npz,,,,0,57,1,0,
CH01,15:34:34.1,153434.npz,,,,0,52,1,0,
CH01,15:34:36.0,153436.npz,,,,0,63,1,0,
CH01,15:34:38.1,153438.npz,,,,0,66,1,0,
CH01,15:34:40.1,153440.npz,,,,0,62,1,0,
CH01,15:34:42.0,153442.npz,,,,0,69,1,0,
CH01,15:34:44.1,153444.npz,,,,0,70,1,0,
CH01,15:34:46.1,153446.npz,,,,0,71,1,0,
CH01,15:34:48.1,153448.npz,,,,0,51,1,0,
CH01,15:34:50.1,153450.npz,,,,0,66,1,0,
CH01,15:34:52.1,153452.npz,,,,0,71,1,0,
CH01,15:34:54.1,153454.npz,,,,0,67,1,0,
CH01,15:34:56.1,153456.npz,,,,0,73,1,0,
CH01,15:34:58.1,153458.npz,,,,0,67,1,0,
CH01,15:35:00.0,153500.npz,,,,0,66,1,0,
CH01,15:35:02.1,153502.npz,,,,0,69,1,0,
CH01,15:35:04.1,153504.npz,,,,0,74,1,0,
CH01,15:35:06.1,153506.npz,,,,0,68,1,0,
CH01,15:35:08.1,153508.npz,,,,0,68,1,0,
CH01,15:35:10.1,153510.npz,,,,0,67,1,0,
CH01,15:35:12.1,153512.npz,,,,0,73,1,0,
CH01,15:35:14.1,153514.npz,,,,0,75,1,0,
CH01,15:35:16.1,153516.npz,,,,0,69,1,0,
CH01,15:35:18.1,153518.npz,,,,0,69,1,0,
CH01,15:35:20.1,153520.npz,,,,0,65,1,0,
CH01,15:35:22.1,153522.npz,,,,0,64,1,0,
CH01,15:35:24.1,153524.npz,,,,0,75,1,0,
CH01,15:35:26.0,153526.npz,,,,0,73,1,0,
CH01,15:35:28.1,153528.npz,,,,0,66,1,0,
CH01,15:35:30.1,153530.npz,,,,0,71,1,0,
CH01,15:35:32.1,153532.npz,,,,0,75,1,0,
CH01,15:35:34.0,153534.npz,,,,0,77,1,0,
CH01,15:35:36.1,153536.npz,,,,0,75,1,0,
CH01,15:35:38.1,153538.npz,,,,0,77,1,0,
CH01,15:35:40.1,153540.npz,,,,0,78,1,0,
CH01,15:35:42.0,153542.npz,,,,0,75,1,0,
CH01,15:35:44.1,153544.npz,,,,0,77,1,0,
CH01,15:35:46.1,153546.npz,,,,0,75,1,0,
CH01,15:35:48.1,153548.npz,,,,0,79,1,0,
CH01,15:35:50.0,153550.npz,,,,0,75,1,0,
CH01,15:35:52.0,153552.npz,,,,0,66,1,0,
CH01,15:35:54.0,153554.npz,,,,0,73,1,0,
CH01,15:35:56.0,153556.npz,,,,0,67,1,0,
CH01,15:35:58.0,153558.npz,,,,0,46,1,0,
CH01,15:36:00.0,153600.npz,,,,0,71,1,0,
CH01,15:36:02.0,153602.npz,,,,0,69,1,0,
CH01,15:36:04.0,153604.npz,,,,0,69,1,0,
CH01,15:36:06.1,153606.npz,,,,0,49,1,0,
CH01,15:36:08.1,153608.npz,,,,0,65,1,0,
CH01,15:36:10.1,153610.npz,,,,0,63,1,0,
CH01,15:36:12.1,153612.npz,,,,0,71,1,0,
CH01,15:36:14.1,153614.npz,,,,0,73,1,0,
CH01,15:36:16.1,153616.npz,,,,0,77,1,0,
CH01,15:36:18.0,153618.npz,,,,0,77,1,0,
CH01,15:36:20.0,153620.npz,,,,0,75,1,0,
CH01,15:36:22.1,153622.npz,,,,0,77,1,0,
CH01,15:36:24.0,153624.npz,,,,0,61,1,0,
CH01,15:36:32.1,153632.npz,,,,0,25,1,0,
CH01,15:38:08.1,153808.npz,,,,0,15,1,0,
CH01,15:38:24.1,153824.npz,,,,0,60,1,0,
CH01,15:38:28.1,153828.npz,,,,0,29,1,0,
CH01,15:38:30.1,153830.npz,,,,0,70,1,0,
CH01,15:38:36.1,153836.npz,,,,0,55,1,0,
CH01,15:38:48.0,153848.npz,,,,0,78,1,0,
CH01,15:38:50.1,153850.npz,,,,0,53,1,0,
CH01,15:38:52.0,153852.npz,,,,0,55,1,0,
CH01,15:38:56.1,153856.npz,,,,0,56,1,0,
CH01,15:38:58.0,153858.npz,,,,0,17,1,0,
CH01,15:39:14.0,153914.npz,,,,0,28,1,0,
CH01,15:39:16.0,153916.npz,,,,0,59,1,0,
